away_score,home_score,game_id,season,season_type,home_team_id,home_team_name,home_team_abbrev,away_team_id,away_team_name,away_team_abbrev,game_date,home_win,away_win,home_time_in_front,away_time_in_front,home_time_in_front_fr,away_time_in_front_fr,away_time_behind,home_time_behind,home_win1,home_win2,home_win3,home_win4,away_win1,away_win2,away_win3,away_win4,home_win_a1,home_win_a2,home_win_a3,home_win_a4,away_win_a1,away_win_a2,away_win_a3,away_win_a4,home_time_behind_fr,away_time_behind_fr,win_time_in_front,lose_time_in_front,win_team,lose_team,win_time_behind,lose_time_behind
114,100,400900557,2017,2,5,Cleveland,CLE,1,Atlanta,ATL,17263,FALSE,TRUE,903,1682,0.31354166666666666,0.5840277777777778,903,1682,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.5840277777777778,0.31354166666666666,0.5840277777777778,0.31354166666666666,ATL,CLE,0.31354166666666666,0.5840277777777778
94,96,400900558,2017,2,28,Toronto,TOR,14,Miami,MIA,17263,TRUE,FALSE,2292,500,0.7958333333333333,0.1736111111111111,2292,500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.1736111111111111,0.7958333333333333,0.7958333333333333,0.1736111111111111,TOR,MIA,0.1736111111111111,0.7958333333333333
88,101,400900559,2017,2,29,Memphis,MEM,18,New York,NY,17263,TRUE,FALSE,2487,259,0.8635416666666667,0.08993055555555556,2487,259,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.08993055555555556,0.8635416666666667,0.8635416666666667,0.08993055555555556,MEM,NY,0.08993055555555556,0.8635416666666667
114,109,400900560,2017,2,10,Houston,HOU,8,Detroit,DET,17263,FALSE,TRUE,2489,235,0.8642361111111111,0.08159722222222222,2489,235,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.08159722222222222,0.8642361111111111,0.08159722222222222,0.8642361111111111,DET,HOU,0.8642361111111111,0.08159722222222222
102,89,400900561,2017,2,6,Dallas,DAL,24,San Antonio,SA,17263,FALSE,TRUE,1643,1052,0.5704861111111111,0.36527777777777776,1643,1052,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.36527777777777776,0.5704861111111111,0.36527777777777776,0.5704861111111111,SA,DAL,0.5704861111111111,0.36527777777777776
106,122,400900562,2017,2,7,Denver,DEN,3,New Orleans,NO,17263,TRUE,FALSE,2562,280,0.8895833333333333,0.09722222222222222,2562,280,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09722222222222222,0.8895833333333333,0.8895833333333333,0.09722222222222222,DEN,NO,0.09722222222222222,0.8895833333333333
113,120,400900563,2017,2,26,Utah,UTAH,16,Minnesota,MIN,17263,TRUE,FALSE,1273,1418,0.4420138888888889,0.49236111111111114,1273,1418,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.49236111111111114,0.4420138888888889,0.4420138888888889,0.49236111111111114,UTAH,MIN,0.49236111111111114,0.4420138888888889
99,120,400900564,2017,2,21,Phoenix,PHX,25,Oklahoma City,OKC,17263,TRUE,FALSE,2830,17,0.9826388888888888,0.005902777777777778,2830,17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.005902777777777778,0.9826388888888888,0.9826388888888888,0.005902777777777778,PHX,OKC,0.005902777777777778,0.9826388888888888
94,98,400900565,2017,2,13,Los Angeles,LAL,23,Sacramento,SAC,17263,TRUE,FALSE,464,2093,0.16111111111111112,0.7267361111111111,464,2093,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.7267361111111111,0.16111111111111112,0.16111111111111112,0.7267361111111111,LAL,SAC,0.7267361111111111,0.16111111111111112
102,90,400900551,2017,2,20,Philadelphia,PHI,4,Chicago,CHI,17262,FALSE,TRUE,93,2655,0.03229166666666667,0.921875,93,2655,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.921875,0.03229166666666667,0.921875,0.03229166666666667,CHI,PHI,0.03229166666666667,0.921875
